Col1,Col2,Col3,Preprocessed Col3
27,1,"" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;,"" " meet pussy ocean dr ||| pussy pill " ""
28,1,""" i need a trippy bitch who fuck on Hennessy ""","" " need trippy bitch fuck hennessy " ""
29,1,""" i spend my money how i want bitch its my business ""","" " spend money want bitch business " ""
30,1,""" i txt my old bitch my new bitch pussy wetter ""","" " txt old bitch new bitch pussy wetter " ""
31,1,"" i'd say im back to the old me but my old bitches would get excited "" &#128524;,"" " 'd say im old ||| old bitch excite " ""
32,1,""" if you aint bout that Murder Game pussy nigga shut up ""","" " you aint bout ||| murder game pussy nigga shut " ""
33,1,""" if you're toes ain't done you pussy stinks ""","" " ||| you toe ai n't you pussy stink " ""
34,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that ""","" " im bitter bitch wrap ||| you angry bird theres app " ""
35,1,""" is that ya bitch ""","" " ya bitch " ""
36,1,""" it aint nothing to cut a bitch off ""","" " aint cut bitch " ""
37,1,"" jus meet son now he ya mane ass bitches "" #Shots," " jus meet son ||| ya mane ass bitch " " | shot
38,1,""" lames crying over hoes thats tears of a clown ""","" " lame hoe thats tear clown " ""
39,1,""" like Snoop said in 94 we dont love these hoes ""","" " ||| like snoop say dont love hoe " ""
40,2,""" momma said no pussy cats inside my doghouse ""","" " momma say pussy cat inside doghouse " ""
41,1,"" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC," " hate hoe favorite " " | mw | sevenone
42,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U","" " nice girl bid | naughty ||| bid yello hoe | real nice body ||| south chick | like em real thick " ""
43,1,"" pimps up pimps up hoes down "" Future voice," " pimp pimp hoe " " future voice
44,1,""" post a picture of that pussy get 200 likes ""","" " post picture pussy like " ""
45,1,"" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b," " pussy powerful drug " " | happyhumpday
46,1,""" quick piece of pussy call it a drive by ""","" " quick piece pussy drive " ""
47,1,""" running round here like some brand new pussy thats bout to get fucked ""","" " run round ||| like brand new pussy thats bout fuck " ""
48,1,""" these bitches even worst they'll send them guys for you ""","" " bitch worst 'll send guy you " ""
49,1,""" these hoes like niggas that spend money not talk bout it ""","" " hoe like nigga spend money talk bout " ""
50,1,""" we dont trust these niggas all these bitches ""","" " dont trust nigga bitch " ""
51,1,""" yall niggas b cuffing hoes cause yall aint never have bitches ""","" " yall nigga b cuff hoe cause yall aint bitch " ""
52,1,"" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;,"" " you dodge bullet " " | | @ darealkha ||| " " da bitch cut pregnant bind ||| thank god | " ""
53,1,""" young Pill Chamberlain these bitches love my music ""","" " young pill chamberlain bitch love music " ""
54,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""","" " | | | | | | | | | | | @ vandalsavage | teanna trump probably cleaner twitter hoe ""
55,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""","" " | | | | | | | | | | @ dahomiefuzz ||| gay nigga wait act like bitch tonight " ""
56,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""","" " | | | @ | paradox ||| ima steal cat n replace pitbull | | | | rt @ 80sbaby4life | @ | paradox bitch you " ""
57,1,"""&amp; he's gone always be a hoe""","" " andamp ||| 's hoe " ""
58,1,"""...Son of a bitch took my Tic Tacs."",son bitch tic tacs "
I like this movie.",,"",""
59,1,""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons,wanna money ||| fuck model bitch " | russell simmons
60,1,""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet," " @ seniorprobs | probably wouldnand | t mind school didnand | ||| ; t deal bitch ass teacher ||| retweet
61,1,"""@A7XDemery: I'm a fucking fag they said""","" " @ a7xdemery ||| fuck fag say " ""
62,1,""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?," " @ arizzleindacut ||| female think date pussy cute ||| stuff pussy
63,2,""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad," " @ addicted2guys | simplyaddictedtoguys woof woof hot scally lad
64,1,""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes," " @ adorebellaa ||| ya ask your bitch bitch | kanye voice " " yes
65,1,""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!," " @ adorezoey ||| u bring ur bitch game ||| you know ya gf friend ||| | | | | ||| " " swear
66,2,""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles," " @ allaboutmanfeet | woof woof hot sole
67,2,""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol," " @ allyhaa ||| lemmie eat oreo andamp | dish " oreo ||| lol
68,1,""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S," " @ almightywayne | @ jetsandaswisher @ gook | bitch fuck u
69,1,""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?," " @ almightywayne | ||| fuck red malone man bitch ass niggah " " you use complete sentence
70,2,""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao," " @ arizonasfinest6 ||| eggplant emoji doe " y say look like scream lmao
71,1,""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch," " @ autoworid | hennessey venom gt | ; 's sexy bitch
72,1,""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!," " @ bossbytchh | seh pussy wetter shower curtain | ahmesehwetness " " andlt | lmao
73,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""","" " @ bro | hen314 | eaglesnation | eagle need pic just post ||| bitch just say racist shit " ""
74,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""," " @ bvsedchink | yo fuck skateboard | y'all wood push faggot man | ball life
@AmJemieBenn",,"",""
75,2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""," " @ babyanimalpics | baby monkey bathtime
Awwwwe! This is soooo ADORABLE!",,"",""
76,1,""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol," " @ baylaagottabody | | | | | ai n't shit " damn skippy lol
77,1,""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance," " @ beeasyjrizzy ||| u kill ant sidewalk think damn ||| nigga way pussy " " bs b andgt | chance
78,1,""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol," " @ beenbasedb | @ | kudabrazyy ring mvp bitch lol
79,1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""","" " @ beenflynsolo ||| ppl talk bid ghetto | hood ||| kid grow | nigga funn ""
80,1,""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples," " @ bestproadvice | fact tattoo ||| tattoo 's pussy tattoo nipple
81,1,""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..," " @ bill215 | | | | rt @ nel | ayden bitch want act like nigga bid | | | ; shit aint cutee " " ||| nigga act like bitch
82,1,""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof," " @ bitchjones92 | worship bitch ||| woof woof
83,1,""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe," " @ blackchiquitita | wow ||| rt @ thatmanpalmer lose ||| buttcheek piercings ||| yeah 's hoe
84,1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"," " @ blacknerdjade | ok | sis " 'd break bitch ||| shrug | 'll tell work
85,0,""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad," " @ blackman38tide ||| @ whalelookyhere @ howdydowdy11 queer " " gaywad
86,1,""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol," " @ brokenpiecesmsc ||| @ itsnotadam faggot read tweet ||| dat k " " n't funny lol
87,1,""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE," " @ brosconfessions ||| bitch ungrateful lulwhore
88,1,"""@CASHandBOOBIES: I been kidnapped yo bitch""","" " @ cashandboobies ||| kidnap yo bitch " ""
89,0,""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican," " @ cb | baby24 | @ white | thunduh alsarabss " " hes beaner smh you tell hes mexican
90,1,""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo," " @ ccobey | @ aydanmccoy happy birthday nigs " " thank yo
91,1,""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!," " @ chlldhoodruiner | ||| ur teacher tell u u homework bitch need
92,1,""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h," " @ caelang15 | " " @ edham | @ caelang15 ||| nigga eat ||| hoe lol " " hell yea lol john paul " " nigga say john paul
93,1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""","" " @ canifuckornah ||| y'all lil ugly bald head bitch ||| stop | andamp | weave ""
94,1,""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig," " @ carelessone92 ||| leaf better win damn game riot shit | earlychristmas " " you better start loot nig
95,1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""","" " @ causewereguys ||| school suck dick hoe attend ""
96,1,""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old," " @ causewereguys ||| way fuck yo bitch year old
97,1,""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard," " @ celeynichole | @ white | thunduh come you bring food " " dont car retard
98,1,""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople," " @ chadmfverbeck | ||| richnow hella tinder hoe im friend anymore " " chill bring like like prople
99,1,""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy," " @ chandlerparsons | bout cowboy " shutup pussy
100,1,""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh," " @ clicquotsuave | lmaoo nigga @ krillz | nuh | care
101,1,""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz," " @ coley | cee | @ lil | aerii girl you know spit ||| g shit you andamp ||| ; you lbvs " " bitch plz
102,1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"," " @ coley | cee ||| let couple tweet cuzzo page ||| twitter jail " lmao bitch trick
103,1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""","" " @ comedyposts ||| harlem shake just excuse retard second ""
104,1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"," " @ comedytruth | amen miley | ||| need act like hoe just bc 's " " emotionally damage " " foh
105,1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""","" " @ corybandz ||| loyal female wayy better hoe | idc | " ""
106,1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""," " @ crhedrys | pussy lick pussy ||| meow meow | stopwhitepeople2014
&#128533;",,"",""
107,1,""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands," " @ dbab | holloway | check 12th man ||| cowboysnation " " faggot ny fan stand
108,1,""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch," " @ dgotbricks ||| happen vixen ent bitch " " run throw like foothill bitch
109,1,""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow," " @ daedavidavie | @ white | thunduh im bitch okay nude pat | | | " " wow
110,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"," " @ devilgrimz ||| @ vigxrarts you fuck gay | blacklist hoe " " hold | tehgodclan
111,1,""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows," " @ diamondloudkush ||| fuck wrong bitch " know
112,1,""@Dietrich1892: Yall shut up:p"" make me bitch," " @ dietrich1892 ||| yall shut ||| p " " bitch
113,1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""","" " @ dionairish ||| hate " " pregnant " " type bitch ""
114,1,""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3," " @ doyou | q | bitch dm ||| read'em " " y your
115,2,""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started," " @ domworldpeace | baseball season win ||| yankee " " love start
116,1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""","" " @ dommoneek | little stupid ||| bitch fuck yoouu ""
117,1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"," " @ dreadheadari ||| really ask dead ass tho ||| say " " bitch wheet " " lol
118,2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""","" " @ dunderbail ||| early bird ||| night owl ||| wise worm ""
119,2,""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.," " @ edgarpixar ||| overdose heavy drug sound bid tonight " pussy shit day
120,2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;," @ el | grillo1 ||| pit bull photograph lovely fairy tale creature
They *are* fairy tale creatures.",,"",""
121,1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol"," " @ ferocious | ghost | @ stname | bravo aw " ||| fag | tweet " " aw " " lol
122,2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha"," " @ flokid88 | long laker trash | careless ||| 's real ||| cc | @ benballer hahaha
123,1,""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot," " @ frosstyy | ||| @ h0rheyd say tho " " kiss faggot
124,2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup"," " @ funnypicsdepot ||| " " play soccer | cheat girl | wear khaki colour cargo " " haircut | yup
125,1,""@G27Status: I could go for a fat ass bitch on my lap"" same,"" " @ g27status ||| fat ass bitch lap " ""
126,1,""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle," " @ gedmelle | miss ||| | | " " das yo p o bitch twitter finna screamn | freemoneymelle
127,1,""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;," " @ gtm | al ||| ya bitch gotta know rule shit anybody ask you cousin jersey thinkin bout " " lmmfao | | |
128,1,""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah," " @ gagatom1 | | @ malefoot | amo los pie fuck yeah
129,1,""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh," " @ girlthatsvonte ||| hoe think meat slap ass | | " " ainna bruh
130,1,""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;," " @ girlthatsvonte ||| yall bitch wit edge talk | | | " " | |
131,1,""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit," " @ girlthatsvonte | yall trick treat year ||| nah " hell yeah ima da sweet tooth bandit steal bitch bag n shit
132,1,""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck," " @ girllssues ||| wanna sex mom fuck right pussy ||| come " " damn you hack like fuck
133,1,""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao," " @ gizzy | jones94 | ||| kiss u eye open watch bitch " lmfao
134,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""","" " @ goofstroop | you woulda coulda shoulda ass hoe | | " ""
135,1,""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!," " @ gotti | ltf ||| happy bday bitch ass nigga @ jetsandaswisher " " preciate bitch roll
136,1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""","" " @ hbmostdope ||| @ jayee @ pipinhoes use send bitch " ""
137,1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""","" " @ hbmostdope ||| ugly bitch like wcw duh bitch you ai n't elsesand | | " ""
138,1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"," " @ halotgmg | @ stname | bravo nigga you know hacky sack hoe " ||| nah | throw look pass lmao
139,1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""","" " @ heartlessfuck ||| glad outta atlanta ||| bunch nigga andamp | outta jail andamp | dumb bitch mad kid fuckin em ""
140,2,""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc," " @ hermosaalma ||| n't ghetto ||| smart idc
141,1,""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?," " @ hiimjorib ||| wife hoe cuz care cheat " ||| force relationship place
142,1,""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu," " @ hornyfacts ||| single n't excuse hoe " @ theonemiss | luu
143,1,""@HoskinsTy96: White boy power bitch"" black power bitch," " @ hoskinsty96 | white boy power bitch " " black power bitch
144,1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."," " @ hudgens | ||| let drink | blowed | spit shit spark blunt andamp | fuck hoe " bro white dude chill
145,1,""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?," " @ iscoutgirls | @ verbally | abrupt bitch u " " world ||| you
146,1,""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *," " @ itsyahboiray | @ anelylove ||| dick suck yo party bid bitch fr set | | | | " " | @ anelylove
147,1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""","" " @ itsyesie | oomf soo cute ||| probably hoe lot ""
148,1,""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe," " @ jayten9 | cartoon alway @ | nuffsaid15 save hoe lmao ||| lmao damn captain saveahoe
149,2,""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs," " @ jreebo ||| want nose bid bois | scally | chav | sockfetish | stink hot sock leg
150,1,""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do," " @ jamesynba ||| wish bitch like brother keezy | ||| " " oow bet you
151,1,""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy," " @ jasminepore | ||| you dress ||| cat halloween you basic " ||| pussy
152,1,""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3," " @ jewelxo ||| pornhub just game stream feature dumb bitch gtfo " " @ pornhub katieandlt
153,1,""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH," " @ joebudden | stop scare choke sex u bitch ass nigga ||| sheand | ll like ||| say guy hit woman bed ||| foh
154,1,""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig," " @ johnny55perez | @ white | thunduh ha iguess hoe loyal bro " " theyll loyal ||| y hoe nig
155,1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"," " @ kazatta | @ takehov oh man ||| " " | you molly | ho fuck ya seed " | fix
156,1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""","" " @ kelsiebelsi ||| you man ||| you refer girl bitch " ""
157,1,""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!," " @ keyshawnswag ||| lmfao cat start beat shit " " nigga finally pussy ||| nigga
158,2,""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?," " @ keyshawnswag ||| peel peel bring rewind ||| shaq line " " oow tf say trash
159,1,""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha," " @ kingcuh | @ stanleys io io alu record ho vine sai pe hahahaha " " lol anywaays ||| haha
160,1,""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!," " @ kinghendo95 ||| @ vondreaam naw old tape ||| new cover ||| upcoming mixtape | kingofthehill " " yeah wait hoe mayne
161,1,""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.," " @ kingteej | ||| ol dirty foot ass bitch " funny
162,1,""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY," " @ king | shawn | @ white | thunduh 's ||| yellow flag amaze | | " " hell yeah niggy
163,1,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""","" " @ kissmysmilee | time bitch actin iffy ""
164,2,""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT," " @ knightfanneal | ucfpinkparty come stay alive knight nation " early bird special ||| comeatmeut
165,1,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""," " @ kyranadiya | hoe ai n't loyal | ai n't
Smfh &amp; wonder why nobody decent wants them",,"",""
166,1,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"," " @ lcistj | bruh | you stud think soft hell ||| ask ya girl time scream bitch ||| oh okay ||| stfu " bye hoe
167,1,""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;," " @ lodycash ||| dry pussy bitch blame condomand | " " | | |
168,1,""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;," " @ lunaraps | shut yo bitch ass ||| |
169,1,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""","" " @ laflaregodjosh | gucci mane jail drop mixtapes month you hoe text " ""
170,1,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""","" " @ latrobemark ||| you love hoe money wat wrong nigga " ""
